instruction_address	owner	symbol	record_index	field_offset	field_role	access	instruction
0x00427907	sub_427300	dword_4B7CC8	1	0x08	rapid_press_chain_stage	write	mov dword_4B7CC8, edx
0x0042790D	sub_427300	dword_4B7CCC	1	0x0C	continuous_down_count	write	mov dword_4B7CCC, eax
0x0042DBA3	sub_42DAF0	dword_4B7CB0	0	0x00	rapid_press_multiplicity	address_taken	mov edi, offset dword_4B7CB0
0x0042DE2A	sub_42DAF0	dword_4B7CB0	0	0x00	rapid_press_multiplicity	address_taken	mov edi, offset dword_4B7CB0
0x0042E3EC	sub_42E280	dword_4B7CB0	0	0x00	rapid_press_multiplicity	address_taken	mov edi, offset dword_4B7CB0
0x0042E79C	sub_42E790	dword_4B7CB0	0	0x00	rapid_press_multiplicity	address_taken	mov edi, offset dword_4B7CB0
0x0042F148	sub_42ED40	dword_4B7CCC	1	0x0C	continuous_down_count	write	mov dword_4B7CCC, eax
0x0042F14D	sub_42ED40	dword_4B7D7C	12	0x0C	continuous_down_count	read	mov eax, dword_4B7D7C
0x0042F15B	sub_42ED40	dword_4B7CCC	1	0x0C	continuous_down_count	write	mov dword_4B7CCC, edx
0x0042F16E	sub_42ED40	dword_4B7CCC	1	0x0C	continuous_down_count	read	cmp dword_4B7CCC, edx
0x0042F237	sub_42ED40	dword_4B7CCC	1	0x0C	continuous_down_count	read	cmp dword_4B7CCC, edx
0x0042F2A5	sub_42ED40	dword_4B7CCC	1	0x0C	continuous_down_count	read	cmp dword_4B7CCC, 1
0x0042FB78	sub_42ED40	dword_4B7CC0	1	0x00	rapid_press_multiplicity	write	mov dword_4B7CC0, eax
0x0042FB7D	sub_42ED40	dword_4B7CCC	1	0x0C	continuous_down_count	write	mov dword_4B7CCC, eax
0x0043A30C	sub_43A2A0	dword_4B7CB0	0	0x00	rapid_press_multiplicity	address_taken	mov edi, offset dword_4B7CB0
0x0043A482	sub_43A470	dword_4B7CB0	0	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7CB0
0x0043A490	sub_43A470	dword_4B7CBC	0	0x0C	continuous_down_count	read	cmp dword_4B7CBC, ebx
0x0043A4A7	sub_43A470	dword_4B7D40	9	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7D40
0x0043A4B0	sub_43A470	dword_4B7D4C	9	0x0C	continuous_down_count	read	cmp dword_4B7D4C, ebx
0x0043A4DF	sub_43A470	dword_4B7CD0	2	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7CD0
0x0043A4E8	sub_43A470	dword_4B7CDC	2	0x0C	continuous_down_count	read	cmp dword_4B7CDC, ebx
0x0043A4F6	sub_43A470	dword_4B7D50	10	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7D50
0x0043A4FF	sub_43A470	dword_4B7D5C	10	0x0C	continuous_down_count	read	cmp dword_4B7D5C, ebx
0x0043A50D	sub_43A470	dword_4B7D10	6	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7D10
0x0043A516	sub_43A470	dword_4B7D1C	6	0x0C	continuous_down_count	read	mov eax, dword_4B7D1C
