caller	call_address	first_argument_push	push_span_bytes	arg_0_x	arg_4_y	arg_8_width	arg_C_height	arg_10_flags	arg_14_auxiliary	flags_immediate	low_flags	mode	flip_bits	family_selection
sub_42ED40	0x0042FF49	0x0042FF48	42	eax	eax	edx	ecx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4308C0	0x004309BC	0x004309BB	23	edi	ebx	edx	ecx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4308C0	0x00430A2D	0x00430A2C	24	esi	ebx	eax	edx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4308C0	0x00430A80	0x00430A7F	24	esi	ebx	eax	edx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4308C0	0x00430AEF	0x00430AEE	23	esi	ebx	edx	ecx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4308C0	0x00430B46	0x00430B45	12	esi	ebx	ecx	edx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_43A880	0x0043AA87	0x0043AA86	88	eax	edx	ecx	edx	ecx	0					runtime/unresolved
sub_43AE40	0x0043AF07	0x0043AF06	11	esi	edx	ecx	eax	edx	0					runtime/unresolved
sub_43AE40	0x0043AFDA	0x0043AFD9	10	eax	edi	ecx	eax	edx	0					runtime/unresolved
sub_43B080	0x0043B103	0x0043B102	46	ecx	eax	edx	ecx	edx	0					runtime/unresolved
sub_43D470	0x0043D4D1	0x0043D4D0	13	edi	3Dh	edx	ecx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_43D470	0x0043D512	0x0043D510	14	56h	3Ah	edx	ecx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_43E800	0x0043ECBE	0x0043ECBD	22	edi	1A9h	edx	ecx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_442130	0x00442248	0x00442247	30	edx	152h	ecx	edx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_442130	0x00442377	0x00442376	26	eax	166h	edx	ecx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_442130	0x0044249B	0x0044249A	30	edx	17Ah	ecx	edx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_442960	0x00442998	0x00442997	12	ecx	eax	edx	ecx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4442B0	0x0044477E	0x0044477D	29	ecx	edx	ecx	edx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_449C30	0x00449CC0	0x00449CBF	63	eax	edx	ecx	eax	4	0	0x00000004	0x0004	0x04	0	source header selects RLE/span or raw/+0x80
sub_449C30	0x00449D14	0x00449D13	30	ecx	eax	edx	ecx	4	0	0x00000004	0x0004	0x04	0	source header selects RLE/span or raw/+0x80
