address	ida_name_navigation_only	catalog_source	code_origin	module_candidate	candidate_confidence	assignment_basis	assembly_direct_callers_address_count	assembly_direct_callees_address_count	follow_up_module	manual_review_scope	review_status
0x00437C00	sub_437C00	ida_export_catalog	game	rendering	medium	address_cluster:directdraw_wrapper_cluster;assembly_direct_call_graph:3_sites	0x00435240:1;0x004352E0:1	0x00437C80:1	rendering		mechanical_candidate_not_manually_reviewed
0x00437C40	sub_437C40	ida_export_catalog	game	rendering	confirmed_boundary	address_cluster:directdraw_wrapper_cluster;assembly_direct_call_graph:2_sites;manual_a2_cross_module_boundary_review	0x0042ED40:2		rendering	cross_module_boundary_a2	manual_reviewed_current_assembly
0x00437C80	sub_437C80	ida_export_catalog	game	rendering	medium	address_cluster:directdraw_wrapper_cluster;assembly_direct_call_graph:1_sites	0x00437C00:1		rendering		mechanical_candidate_not_manually_reviewed
0x00437D80	sub_437D80	ida_export_catalog	game	rendering	medium	address_cluster:directdraw_wrapper_cluster;assembly_direct_call_graph:1_sites	0x00437B60:1		rendering		mechanical_candidate_not_manually_reviewed
0x00437DC0	sub_437DC0	ida_export_catalog	game	rendering	medium	address_cluster:directdraw_wrapper_cluster;assembly_direct_call_graph:1_sites	0x004377D0:1		rendering		mechanical_candidate_not_manually_reviewed
0x00437DF0	sub_437DF0	ida_export_catalog	game	rendering	confirmed_boundary	manual_critical_abi_seed;manual_a2_cross_module_boundary_review	0x004070A0:1;0x00408CF0:1;0x0040AB50:3;0x0040ED60:1;0x004118B0:2;0x00411FA0:1;0x004120B0:1;0x00424EF0:1;0x00427920:2;0x0043A610:1;0x0043BFC0:1;0x00446700:1;0x0044EA60:1;0x004527E0:5;0x004530A0:1;0x00453200:1;0x0045E7D0:2;0x00484950:1		rendering	critical_abi;cross_module_boundary_a2	manual_reviewed_current_assembly
0x00437E20	sub_437E20	ida_export_catalog	game	rendering	confirmed_boundary	address_cluster:directdraw_wrapper_cluster;assembly_direct_call_graph:1_sites;manual_a2_cross_module_boundary_review	0x0040AB50:1		rendering	cross_module_boundary_a2	manual_reviewed_current_assembly
0x00437E30	sub_437E30	ida_export_catalog	game	rendering	medium	address_cluster:directdraw_wrapper_cluster;assembly_direct_call_graph:1_sites	0x00437570:1		rendering		mechanical_candidate_not_manually_reviewed
0x00437E90	sub_437E90	ida_export_catalog	game	rendering	confirmed_boundary	address_cluster:directdraw_wrapper_cluster;assembly_direct_call_graph:2_sites;manual_a2_cross_module_boundary_review	0x00433DC0:1;0x00435160:1		rendering	cross_module_boundary_a2	manual_reviewed_current_assembly
0x00437EB0	sub_437EB0	ida_export_catalog	game	rendering	medium	address_cluster:directdraw_wrapper_cluster;assembly_direct_call_graph:1_sites	0x00437F40:1		rendering		mechanical_candidate_not_manually_reviewed
